STT,Số thứ tự theo thông tư,Phân nhóm theo thông tư,Tên hoạt chất,Nồng độ - Hàm lượng,Tên thuốc,Dạng bào chế,Đường dùng,Đơn vị tính,Quy cách đóng gói,Giấy phép lưu hành sản phẩm,Hạn dùng,Cơ sở đăng ký,Cơ sở sản xuất,Nước sản xuất,Hiệu lực Visa,GMP Cơ sở sản xuất,Giá kê khai,Link Hồ sơ sản phẩm,Hoạt chất kiểm soát đặc biệt,Ghi chú
1,48,1,Meloxicam,15mg,Trosicam 15mg,"Viên hoà tan nhanh, uống",Uống,Viên,Hộp 3 vỉ x 10 viên, VN-20104-16 ,36 tháng,"Alpex Pharma SA, 
Thụy Sĩ", Alpex Pharma SA ,"
Thụy Sĩ",,," 8,500 ",,,
2,72,1,Piroxicam,20mg,Reumoxican,"Viên hoà tan nhanh, uống",Uống,Viên,Hộp 6 vỉ x 10 viên, 560110011523 ,36 tháng,"Farmalabor – Produtos Farmacêuticos, S.A, Portugal"," Farmalabor – Produtos Farmacêuticos, S.A ",Portugal,,," 7,690 ",,,
3,155,1,Pregabalin,25mg,Pregabakern 25mg,"Viên nang, uống",Uống,Viên,Hộp 4 vỉ x 14 viên, VN-22830-21 ,36 tháng,"Kern Pharma S.L, 
Tây Ban Nha", Kern Pharma S.L ,"
Tây Ban Nha",,," 8,000 ",,,
4,43,1,Ibuprofen,20mg/ml,Goldridons," Dung dịch/Hỗn dịch/ Nhũ dịch, uống",Uống,Hộp,Hộp 1 chai 100ml, 560100424523 ,36 tháng,"Farmalabor-Produtos Farmacêuticos, S.A (Fab.), Portugal"," Farmalabor-Produtos Farmacêuticos, S.A (Fab.) ",Portugal,,," 98,000 ",,,
5,548,1,"Telmisartan +
Hydrochlothiazid",80mg + 12.5mg,"Anvo-Telmisartan HCTZ 80/12,5mg","	Viên, uống",Uống,Viên,Hộp 2 vỉ x 7 viên, 840110178923 ,36 tháng,"Laboratorios Liconsa, S.A, Spain"," Laboratorios Liconsa, S.A ",Spain,,," 15,500 ",,,
6,427,2,Alfuzosin,"2,5mg","Gourcuff-2,5","	Viên, uống",Uống,Viên,Hộp 10 vỉ x 10 viên, 893110660724 ,36 tháng,"Công ty cổ phần dược phẩm Đạt Vi Phú, Việt Nam", Công ty cổ phần dược phẩm Đạt Vi Phú ,Việt Nam,,," 	4,200 ",,,
7,377,2,Methotrexat,"2,5mg",Unitrexates,"	Viên, uống",Uống,Viên,Hộp 10 vỉ x 10 viên, 880114434123 ,36 tháng,"Korea United Pharm.Inc, Hàn Quốc", Korea United Pharm.Inc ,Hàn Quốc,,," 4,179 ",,,
8,377,2,Methotrexat,"2,5mg","Terzence-2,5 ","	Viên, uống",Uống,Viên,Hộp 10 vỉ x 10 viên,893114116224,36 tháng,"Công ty CPDP Đạt Vi Phú , Việt Nam", Công ty CPDP Đạt Vi Phú  ,Việt Nam,,," 4,180 ",,,
9,377,2,Methotrexat,5mg,Terzence-5  ,"	Viên, uống",Uống,Viên,Hộp 6 vỉ x 10 viên, 893114116324  ,36 tháng,"Công ty CPDP Đạt Vi Phú , Việt Nam", Công ty CPDP Đạt Vi Phú  ,Việt Nam,,," 8,360 ",,,
10,317,2,Metronidazol,200mg; 60ml,Monizol," Dung dịch/Hỗn dịch/ Nhũ dịch, uống",Uống,Chai,Hộp 1 chai 60ml, VN-22077-19 ,36 tháng,"Gracure Pharmaceuticals Ltd , India", Gracure Pharmaceuticals Ltd  ,India,,," 62,000 ",,,
11,43,2,Ibuprofen,20mg/ml; 100ml,Unafen," Dung dịch/Hỗn dịch/ Nhũ dịch, uống",Uống,Chai,Hộp 1 chai 100ml, VN-21873-19 ,36 tháng,"Gracure Pharmaceuticals Ltd , India", Gracure Pharmaceuticals Ltd  ,India,,," 98,000 ",,,
12,529,2,"Irbesartan + 
hydroclorothiazide",300mg + 25mg,IRBEZYD H 300/25,"Viên, uống",Uống,Viên,Hộp 3 vỉ x 10 viên, VN-15750-12 ,36 tháng,"Zydus Lifesciences
Limited, India"," Zydus Lifesciences
Limited ",India,,," 10,000 ",,,
13,317,2,Metronidazol + Chloramphenicol + Nystatin + Dexamethasone acetate,"225mg + 100mg+75mg+0,5mg",GENTUSI,Đặt âm đạo,Đặt,Viên đặt âm đạo,Hộp 2 vỉ x 5 viên, VN-16635-13 ,24  tháng,"Farmaprim Ltd, Moldova", Farmaprim Ltd ,Moldova,,," 26,000 ",,,
14,184,2,Cefmetazol,2g,Cefmetazol 2g,"Thuốc bột pha tiêm, Tiêm",Tiêm,Lọ,Hộp 01 Lọ x 2g; Hộp 10 Lọ x 2g, 893110229423 ,24 tháng,"Chi nhánh 3 - Công ty Cổ phần Dược phẩm Imexpharm tại Bình Dương , Việt Nam", Chi nhánh 3 - Công ty Cổ phần Dược phẩm Imexpharm tại Bình Dương  ,Việt Nam,,," 158,000 ",,,
15,778,3,Dapagliflozin ,5 mg,Forbizin 5mg,"Viên, uống",Uống,Viên,Hộp 3 vỉ x 10 viên, 893110208323 ,36 Tháng,"Công ty cổ phần Dược- Trang thiết bị y tế Bình Định
(BIDIPHAR) , Việt Nam"," Công ty cổ phần Dược- Trang thiết bị y tế Bình Định
(BIDIPHAR)  ",Việt Nam,,," 12,999 ",,,
16,501,3,Amlodipine- Atorvastatin,5mg + 20mg,Toduet,"	Viên, uống",Uống,Viên,Hộp 3 vỉ x 10 viên, 893110367524 ,36 tháng,"Công ty CPDP Trường Thọ, Việt Nam", Công ty CPDP Trường Thọ ,Việt Nam,,," 9,000 ",,,
17,968,4,Ambroxol,30mg/5ml; 50ml,Justone 30 Mg/5 ml," Dung dịch/Hỗn dịch/ Nhũ dịch, uống",Uống,Chai,Hộp 1 chai x 50ml, 893100153400 ,30 tháng,"Công ty Cổ phần Medcen, Việt Nam", Công ty Cổ phần Medcen ,Việt Nam,,," 30,000 ",,,
18,962,4,Salbutamol Sulfat,2mg/5ml; 150ml,Sallet," Dung dịch/Hỗn dịch/ Nhũ dịch, uống",Uống, Lọ,Hộp 1 lọ 150ml, VD-34495-20 ,24 tháng,"Công ty cổ phần Dược VTYT Hà Nam, Việt Nam", Công ty cổ phần Dược VTYT Hà Nam ,Việt Nam,,," 49,000 ",,,
