STT;Tên thuốc;Quy cách đóng gói;Số lượng;Đơn giá trúng thầu;Mã thông báo mời thầu;Tên Chủ đầu tư;Số quyết định;Ngày ban hành quyết định;Thời hạn hiệu lực;Công ty trúng thầu;Link quyết định trúng thầu
1;Trosicam 15mg;Hộp 3 vỉ x 10 viên;600.000;7.791;IB0123456789; Bệnh viện Quân y 175;4927/QĐ-BV;13/10/2025;24 tháng;Công Ty TNHH Dược Phẩm Khánh Mai;
2;Reumoxican;Hộp 6 vỉ x 10 viên;124.500;7.690;IB0123456790;Sở Y tế TÂY NINH;1995/QĐ-SYT;24/12/2025;24 tháng;Công ty CP Việt Nga;
3;Pregabakern 25mg;Hộp 4 vỉ x 14 viên;10.000;6.800;IB0123456791;Bệnh viện Đa khoa Long An;120/BVĐKLA3965;13/01/2026;24 tháng;Công ty Cổ phần Dược Phẩm và Truyền Thông THT;
4;Goldridons;Hộp 1 chai 100ml;1.140;96.999;IB0123456792;Sở Y tế tỉnh Đồng Nai;139/QĐ-SYT;27/02/2025;24 tháng;Công Ty Tnhh Tm Dược Phẩm Khang Tín;
5;Anvo-Telmisartan HCTZ 80/12,5mg;Hộp 2 vỉ x 7 viên;750.360;13.524;IB0123456793;SYT TPHCM - BV Nhân dân Gia Định;711/QĐ-BVNDGĐ;27/02/2025;24 tháng;Công Ty Tnhh Tm Dược Phẩm Khang Tín;
7;Gourcuff-2,5;Hộp 10 vỉ x 10 viên;30.000;3.800;IB0123456794;TRUNG TÂM Y TẾ KHU VỰC PHAN THIẾT;17/QĐ-TTYT ;23/01/2026;24 tháng;CÔNG TY TNHH INAFO VIỆT NAM;
10;Monizol;Hộp 1 chai 60ml;800;62.000;IB0123456795;Sở Y tế tỉnh Đồng Nai;139/QĐ-SYT;27/02/2025;24 tháng;Công Ty Tnhh Tm Dược Phẩm Khang Tín;
11;Unafen;Hộp 1 chai 100ml;14.400;68.500;IB0123456796;Sở Y tế TÂY NINH;1995/QĐ-SYT;24/12/2025;24 tháng;Công ty CP Việt Nga;
12;IRBEZYD H 300/25;Hộp 3 vỉ x 10 viên;12.000;9.975;IB0123456797;SYT AN GIANG - BV TIM MẠCH;56/QĐ-BVTM;24/02/2025;24 tháng;Công ty TNHH DP Khải Bình;
13;GENTUSI;Hộp 2 vỉ x 5 viên;4.000;26.000;IB0123456798;SYT NINH BÌNH - BV SẢN NHI;154/QĐ-BVSN;18/02/2025;24 tháng;Công ty CP Dược phẩm Trang Liên;
